epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,790.549,1.10393,1.26551,1.16895,0.93693,0.91235,0.96507,0.73113,0.78482,0.64459,0.9635,0.0668753,0.000166456,0.000166456
2,1537.04,0.93193,0.71314,1.07671,0.95206,0.94118,0.9775,0.78072,0.69726,0.48881,0.92728,0.0336955,0.000319931,0.000319931
3,2279.73,0.8741,0.60616,1.04705,0.96721,0.96126,0.98664,0.79409,0.68695,0.42771,0.91858,0.0005024,0.000460206,0.000460206
4,3022.89,0.82789,0.54674,1.02351,0.97746,0.9695,0.98967,0.81657,0.60857,0.3703,0.89083,0.0004406,0.0004406,0.0004406
5,3704.66,0.78531,0.50077,1.00578,0.98931,0.97803,0.99227,0.83394,0.58051,0.32821,0.87725,0.0004208,0.0004208,0.0004208
6,4391.55,0.761,0.47182,0.99356,0.98869,0.97767,0.99189,0.84779,0.56216,0.31575,0.86916,0.000401,0.000401,0.000401
7,5079.36,0.72981,0.44261,0.97658,0.99049,0.98441,0.99357,0.85228,0.5567,0.3062,0.86559,0.0003812,0.0003812,0.0003812
8,5782.19,0.71946,0.43195,0.97316,0.98933,0.98629,0.99349,0.86803,0.49537,0.28173,0.85088,0.0003614,0.0003614,0.0003614
9,6488.83,0.69196,0.40973,0.96014,0.9912,0.9918,0.99438,0.87568,0.49393,0.26715,0.84671,0.0003416,0.0003416,0.0003416
10,7200.12,0.67721,0.39813,0.95487,0.99548,0.98742,0.99446,0.87774,0.49109,0.26411,0.84633,0.0003218,0.0003218,0.0003218
11,7919.04,0.66668,0.38438,0.94788,0.99337,0.98938,0.99392,0.88816,0.45542,0.25239,0.8373,0.000302,0.000302,0.000302
12,8630.77,0.64604,0.37114,0.94044,0.9951,0.99028,0.99457,0.88845,0.46701,0.24844,0.84005,0.0002822,0.0002822,0.0002822
13,9329.88,0.64404,0.36595,0.94029,0.99613,0.9908,0.99467,0.89631,0.43604,0.24003,0.83327,0.0002624,0.0002624,0.0002624
14,10027.8,0.63096,0.35661,0.93537,0.99453,0.99313,0.99426,0.90194,0.42678,0.23208,0.82827,0.0002426,0.0002426,0.0002426
15,10731.2,0.62235,0.35062,0.93119,0.99433,0.99307,0.99431,0.8987,0.42962,0.2328,0.82984,0.0002228,0.0002228,0.0002228
16,11411.6,0.54568,0.27534,0.88796,0.99586,0.99347,0.99486,0.90425,0.42102,0.22667,0.82576,0.000203,0.000203,0.000203
17,12089.3,0.52778,0.26473,0.87953,0.99524,0.99539,0.99491,0.90802,0.41572,0.22054,0.82353,0.0001832,0.0001832,0.0001832
18,12768.4,0.51949,0.26096,0.87717,0.99537,0.99576,0.9949,0.90691,0.42056,0.21733,0.82291,0.0001634,0.0001634,0.0001634
19,13446.5,0.5077,0.25221,0.87366,0.99591,0.99447,0.99489,0.91357,0.40478,0.21249,0.8197,0.0001436,0.0001436,0.0001436
20,38571.3,0.50063,0.24731,0.86873,0.9971,0.99483,0.99493,0.92012,0.38819,0.20397,0.81584,0.0001238,0.0001238,0.0001238
21,39675.8,0.48692,0.24234,0.86285,0.99708,0.99559,0.9949,0.91961,0.39202,0.20259,0.81647,0.000104,0.000104,0.000104
22,41014.5,0.48062,0.23646,0.86106,0.99669,0.9966,0.99493,0.92148,0.38507,0.19811,0.8147,8.42e-05,8.42e-05,8.42e-05
23,41927,0.46976,0.23089,0.85627,0.99649,0.9964,0.99494,0.9231,0.3809,0.19479,0.81344,6.44e-05,6.44e-05,6.44e-05
24,42827.9,0.46056,0.22628,0.85326,0.99724,0.99665,0.99494,0.92633,0.37477,0.19093,0.8116,4.46e-05,4.46e-05,4.46e-05
25,43758.8,0.45198,0.22223,0.85016,0.99742,0.99568,0.99493,0.92926,0.36956,0.18818,0.81063,2.48e-05,2.48e-05,2.48e-05
